F_Avg,F_Max,X_Bytes,Y_Bytes,X,Y
-3.610,0.100,000101,000010,-2.5,1.2
-3.543,-0.400,001010,000010,-2.0,1.2
-2.810,-0.100,111001,000100,2.7,1.4
-2.352,0.000,110100,000001,2.2,1.1
-2.118,0.600,111100,000010,3.0,1.2
-1.882,0.700,111011,000001,2.9,1.1
-1.367,0.900,000001,000000,-2.9,1.0
-1.052,1.000,111100,000000,3.0,1.0
-0.863,1.000,111100,000000,3.0,1.0
-0.480,1.000,111100,000000,3.0,1.0
-0.435,1.000,111100,000000,3.0,1.0
-0.415,0.800,111100,000001,3.0,1.1
-0.265,1.000,111100,000000,3.0,1.0
-0.113,1.000,111100,000000,3.0,1.0
-0.098,1.000,111100,000000,3.0,1.0
-0.033,1.000,111100,000000,3.0,1.0
0.122,0.800,111010,000000,2.8,1.0
0.038,0.800,111010,000000,2.8,1.0
0.120,0.800,111010,000000,2.8,1.0
0.100,1.000,111100,000000,3.0,1.0
0.250,1.000,111100,000000,3.0,1.0
0.307,1.000,111100,000000,3.0,1.0
0.297,1.000,111100,000000,3.0,1.0
0.375,1.000,111100,000000,3.0,1.0
0.493,1.000,111100,000000,3.0,1.0
0.593,1.000,111100,000000,3.0,1.0
0.483,1.000,111100,000000,3.0,1.0
0.607,1.000,111100,000000,3.0,1.0
0.660,1.000,111100,000000,3.0,1.0
0.657,1.000,111100,000000,3.0,1.0
0.568,1.000,111100,000000,3.0,1.0
0.540,1.000,111100,000000,3.0,1.0
0.588,1.000,111100,000000,3.0,1.0
0.468,1.000,111100,000000,3.0,1.0
0.467,1.000,111100,000000,3.0,1.0
0.547,1.000,111100,000000,3.0,1.0
0.590,1.000,111100,000000,3.0,1.0
0.450,1.000,111100,000000,3.0,1.0
0.338,1.000,111100,000000,3.0,1.0
0.377,1.000,111100,000000,3.0,1.0
0.500,1.000,111100,000000,3.0,1.0
0.557,1.000,111100,000000,3.0,1.0
0.510,0.800,111010,000000,2.8,1.0
0.515,0.900,111011,000000,2.9,1.0
0.498,0.800,111010,000000,2.8,1.0
0.483,0.800,111010,000000,2.8,1.0
0.537,0.800,111010,000000,2.8,1.0
0.530,0.800,111010,000000,2.8,1.0
0.537,0.800,111010,000000,2.8,1.0
0.540,0.800,111010,000000,2.8,1.0
0.530,0.800,111010,000000,2.8,1.0
0.470,0.800,111010,000000,2.8,1.0
0.403,0.800,111010,000000,2.8,1.0
0.333,0.800,111010,000000,2.8,1.0
0.227,0.800,111010,000000,2.8,1.0
0.187,0.800,111010,000000,2.8,1.0
0.347,0.800,111010,000000,2.8,1.0
0.237,0.800,111010,000000,2.8,1.0
0.278,0.700,111011,000001,2.9,1.1
0.095,0.800,111010,000000,2.8,1.0
0.165,0.800,111010,000000,2.8,1.0
0.232,0.800,111010,000000,2.8,1.0
0.323,0.900,111011,000000,2.9,1.0
0.517,0.800,111010,000000,2.8,1.0
0.407,0.800,111010,000000,2.8,1.0
0.463,0.800,111010,000000,2.8,1.0
0.337,0.800,111010,000000,2.8,1.0
0.535,0.800,111010,000000,2.8,1.0
0.513,0.800,111010,000000,2.8,1.0
0.425,0.800,111010,000000,2.8,1.0
0.547,0.800,111010,000000,2.8,1.0
0.440,0.800,111010,000000,2.8,1.0
0.477,0.800,111010,000000,2.8,1.0
0.483,0.800,111010,000000,2.8,1.0
0.523,0.800,111010,000000,2.8,1.0
0.528,0.800,111010,000000,2.8,1.0
0.518,0.800,111010,000000,2.8,1.0
0.523,0.800,111010,000000,2.8,1.0
0.522,0.800,111010,000000,2.8,1.0
0.573,0.800,111010,000000,2.8,1.0
0.543,0.800,111010,000000,2.8,1.0
0.603,0.800,111010,000000,2.8,1.0
0.608,0.800,111010,000000,2.8,1.0
0.643,0.800,111010,000000,2.8,1.0
0.613,0.800,111010,000000,2.8,1.0
0.588,0.800,111010,000000,2.8,1.0
0.653,0.800,111010,000000,2.8,1.0
0.682,0.800,111010,000000,2.8,1.0
0.662,0.800,111010,000000,2.8,1.0
0.650,0.800,111010,000000,2.8,1.0
0.623,0.800,111010,000000,2.8,1.0
0.628,0.800,111010,000000,2.8,1.0
0.618,0.800,111010,000000,2.8,1.0
0.515,0.800,111010,000000,2.8,1.0
0.458,0.800,111010,000000,2.8,1.0
0.403,0.800,111010,000000,2.8,1.0
0.570,0.800,111010,000000,2.8,1.0
0.530,0.800,111010,000000,2.8,1.0
0.417,0.800,111010,000000,2.8,1.0
0.572,0.800,111010,000000,2.8,1.0
0.565,0.800,111010,000000,2.8,1.0
0.447,0.800,111010,000000,2.8,1.0
0.413,0.800,111010,000000,2.8,1.0
0.473,0.800,111010,000000,2.8,1.0
0.425,1.000,111100,000000,3.0,1.0
0.380,1.000,111100,000000,3.0,1.0
0.298,1.000,111100,000000,3.0,1.0
0.467,1.000,111100,000000,3.0,1.0
0.247,0.800,111010,000000,2.8,1.0
0.100,1.000,111100,000000,3.0,1.0
0.188,0.800,111010,000000,2.8,1.0
0.183,0.700,111011,000001,2.9,1.1
0.283,0.800,111010,000000,2.8,1.0
0.315,0.800,111010,000000,2.8,1.0
0.290,0.800,111010,000000,2.8,1.0
0.308,0.700,111011,000001,2.9,1.1
0.298,0.800,111010,000000,2.8,1.0
0.250,0.700,111011,000001,2.9,1.1
0.342,0.800,111010,000000,2.8,1.0
0.303,0.800,111010,000000,2.8,1.0
0.438,0.800,111010,000000,2.8,1.0
0.503,0.800,111010,000000,2.8,1.0
0.487,0.800,111010,000000,2.8,1.0
0.520,0.800,111010,000000,2.8,1.0
0.578,0.800,111010,000000,2.8,1.0
0.553,0.800,111010,000000,2.8,1.0
0.540,0.800,111010,000000,2.8,1.0
0.510,0.800,111010,000000,2.8,1.0
0.510,0.800,111010,000000,2.8,1.0
0.547,0.800,111010,000000,2.8,1.0
0.537,0.800,111010,000000,2.8,1.0
0.535,0.800,111010,000000,2.8,1.0
0.515,0.800,111010,000000,2.8,1.0
0.510,0.800,111010,000000,2.8,1.0
0.498,0.700,111011,000001,2.9,1.1
0.520,0.700,111011,000001,2.9,1.1
0.482,0.700,111011,000001,2.9,1.1
0.398,0.700,111011,000001,2.9,1.1
0.360,0.900,111011,000000,2.9,1.0
0.440,0.700,111011,000001,2.9,1.1
0.427,0.700,111011,000001,2.9,1.1
0.543,0.700,111011,000001,2.9,1.1
0.517,0.700,111011,000001,2.9,1.1
0.400,0.700,111011,000001,2.9,1.1
0.465,0.800,111010,000000,2.8,1.0
0.505,0.800,111010,000000,2.8,1.0
0.485,0.800,111010,000000,2.8,1.0
0.570,0.700,111011,000001,2.9,1.1
0.582,0.700,111011,000001,2.9,1.1
0.528,0.700,111011,000001,2.9,1.1
0.572,0.800,111010,000000,2.8,1.0
0.500,0.800,111010,000000,2.8,1.0
0.405,0.800,111010,000000,2.8,1.0
0.462,0.800,111010,000000,2.8,1.0
0.458,0.800,111010,000000,2.8,1.0
0.533,0.700,111011,000001,2.9,1.1
0.542,0.700,111011,000001,2.9,1.1
0.508,0.700,111001,000000,2.7,1.0
0.503,0.700,111011,000001,2.9,1.1
0.575,0.700,111011,000001,2.9,1.1
0.542,0.700,111011,000001,2.9,1.1
0.595,0.700,111011,000001,2.9,1.1
0.590,0.700,111011,000001,2.9,1.1
0.587,0.700,111011,000001,2.9,1.1
0.635,0.700,111011,000001,2.9,1.1
0.613,0.700,111011,000001,2.9,1.1
0.602,0.700,111011,000001,2.9,1.1
0.527,0.700,111011,000001,2.9,1.1
